pair_id,corpus,file,chunk_id,summary_idx,coverage,alignment,better_chunk,multi_chunk,too_long_or_weird,mt5_keep,notes
1,史记,史记/七十列传/孟尝君列传/segment_sum.txt,0,0,high,yes,no,no,no,keep,"Opening biography is well supported by the chunk; summary is concise and locally grounded."
2,史记,史记/七十列传/佞幸列传/segment_sum.txt,0,0,high,yes,no,no,no,keep,"Chunk directly supports the theme and the named examples Hongru/Jiru."
3,史记,史记/七十列传/范雎蔡泽列传/segment_sum.txt,8,3,medium,partial,yes,yes,no,drop,"Current chunk supports the Xu Jia humiliation but not the earlier rise of Fan Ju and queen mother/Marquis Rang events."
4,史记,史记/七十列传/田儋列传/segment_sum.txt,1,1,medium,partial,maybe,yes,no,drop,"Summary spans a long historical sequence; current chunk covers only the middle section."
5,史记,史记/七十列传/汲郑列传/segment_sum.txt,5,6,medium,partial,maybe,yes,no,drop,"Late-life material is present, but the summary covers Zheng Zhuang's full biography across multiple chunks."
6,史记,史记/七十列传/廉颇蔺相如列传/segment_sum.txt,3,6,high,yes,no,no,no,keep,"Tai Shigong's praise and Lin Xiangru's yielding to Lian Po are directly supported."
7,史记,史记/七十列传/太史公自序/segment_sum.txt,3,4,medium,partial,yes,yes,no,drop,"The selected chunk contains Sima Qian's background but not the full father-son conversation summarized."
8,史记,史记/十二本纪/孝武本纪/segment_sum.txt,13,4,low,partial,maybe,yes,no,drop,"Summary compresses a broad reflection on sacrifices and immortals; current chunk is only one late ritual segment."
9,后汉书,后汉书/列传/刘玄刘盆子列传/segment_sum.txt,3,3,medium,partial,maybe,yes,no,drop,"Chunk starts in the right episode, but the summary covers a long chain of defeats, surrender, death, and heirs."
10,后汉书,后汉书/本纪/光武帝纪下/segment_sum.txt,6,10,high,yes,no,no,no,keep,"Annalistic event list aligns well with the chunk's year-by-year notices."
11,后汉书,后汉书/列传/窦融列传/segment_sum.txt,0,4,low,no,yes,no,no,drop,"Summary is the historian's concluding comment, but the chunk is the opening biography."
12,后汉书,后汉书/列传/光武十王列传/segment_sum.txt,3,3,high,yes,no,no,no,keep,"Liu Kang's misconduct, accusation, reduced fief, extravagance, admonition, and death are all present."
13,后汉书,后汉书/列传/光武十王列传/segment_sum.txt,1,1,low,no,yes,no,no,drop,"Chunk excerpt is still about another prince's funeral context rather than Liu Fu's biography."
14,后汉书,后汉书/列传/刘赵淳于江刘周赵列传/segment_sum.txt,3,4,low,no,yes,no,no,drop,"Summary is about Liu Ban, but the chunk excerpt is centered on Jiang Ge."
