relative_path,rules,first_paragraph_preview
史记/七十列传/万石张叔列传/target.summary.txt,generic_history_opening,"The lives of several officials from the Han Dynasty, focusing on their conduct and family traditions. Wan Shijun, originally from Zhao, served under Emperor Gaozu and rose through ranks due to his respectful and cautious nature. He became a tutor to the prince and later a high-ranking official, with his four sons also holding significant posts. His family was renowned for filial piety and prudence, influencing even Confucian scholars. Wan Shijun’s strict household rules included requiring descen"
史记/七十列传/东越列传/target.summary.txt,generic_history_opening,"The history of the Minyue and Dongou kingdoms, descendants of King Goujian of Yue, with the surname Zou. After the Qin Dynasty annexed their lands, they were demoted to rulers and their territory became Minzhong County. During the rebellion against Qin, Wu Zhu and Yao led the Yue people to join Wu Rui and helped destroy Qin, but Xiang Ji refused to make them kings, so they later supported the King of Han against Xiang Ji. In the fifth year of the Han Dynasty, Wu Zhu was reinstated as King of Min"
史记/七十列传/刺客列传/target.summary.txt,generic_history_opening,"The deeds of five assassins from ancient China, spanning over four centuries. Cao Mo of Lu, a general who, after military defeats against Qi, threatened Duke Huan of Qi with a dagger during a peace alliance. Cao Mo forced the duke to promise the return of all occupied Lu lands. Though the duke initially wanted to break the promise, his advisor Guan Zhong convinced him that keeping his word was crucial for maintaining credibility among the feudal lords, and the lands were returned."
史记/七十列传/张丞相列传/target.summary.txt,generic_history_opening,"The lives and careers of several prominent officials in the early Han Dynasty, focusing on their roles, achievements, and interactions with emperors."
史记/七十列传/日者列传/target.summary.txt,generic_history_opening,"The role of divination in ancient China, particularly during the Zhou and Han dynasties. Kings historically received destiny without relying on divination, but by the Han dynasty, diviners had emerged. Lord Sima Ji, a diviner from Chu, practiced in Chang'an's east city. Two officials, Song Zhong and Jia Yi, visited him after discussing governance and saints. They questioned why Sima Ji, despite his wisdom, held a lowly position. Sima Ji defended divination, contrasting it with corrupt officials "
史记/七十列传/老子韩非列传/target.summary.txt,generic_history_opening,"A biographical account of Laozi, a native of Chu State who served as a Zhou dynasty librarian. When Confucius sought his advice on etiquette, Laozi dismissed the topic, noting that its proponents had long since perished, and advised Confucius to abandon arrogance and excessive desires. Confucius later likened Laozi to a dragon, elusive and transcendent. Laozi, observing Zhou's decline, wrote a book of over 5,000 words on morality at the request of a gatekeeper before disappearing. Some claim he "
史记/三十世家/燕召公世家/target.summary.txt,generic_history_opening,"The history of the Yan state, beginning with its founder, Zhao Gongxi, a member of the Zhou royal family granted the title in Northern Yan by King Wu. During King Cheng's reign, Zhao Gong governed west of Shaanxi, while the Duke of Zhou governed the east. Suspicious of the Duke of Zhou's regency, Zhao Gong was appeased by the Duke's historical references to virtuous Yin ministers. Zhao Gong governed the western region with great popularity, famously adjudicating under a Tangli tree, which the pe"
史记/三十世家/管蔡世家/target.summary.txt,generic_history_opening,"The lineage and history of the sons of King Wen of Zhou, focusing on Guan Shuxian and Cai Shudu, younger brothers of King Wu. King Wu had ten brothers from the same mother, Taisi. Among them, only King Wu and Zhou Gongdan were virtuous and talented, leading King Wen to make Fa (King Wu) crown prince. After King Wu conquered the Yin, he enfeoffed lands to his brothers: Shuxian received Guan, Shudu received Cai, and they were made ministers to Wu Geng, son of the Yin king. Zhou Gongdan was enfeoff"
史记/三十世家/陈杞世家/target.summary.txt,generic_history_opening,"The lineage and history of the State of Chen, founded by Duke Hu, a descendant of Emperor Shun. After Shun’s death, his descendants held intermittent titles until King Wu of Zhou enfeoffed Guiman (Duke Hu) in Chen to continue Shun’s sacrifices. The succession of Chen rulers is detailed, including Dukes Shen, Xiang, Xiao, You, Li, Wu, Yi, Ping, Wen, Huan, Li, Zhuang, Xuan, Mu, Gong, Ling, Cheng, Ai, Hui, Huai, and Min. Key events include Duke Li’s son Wan fleeing to Qi after fearing persecution, "
后汉书/列传/章帝八王列传/target.summary.txt,generic_history_opening,"The lives and fates of Emperor Zhang's eight sons, focusing on the lineages of several kings. Liu Qing, King Xiao of Qinghe, was born to Noble Consort Song. His mother and aunt were favored by Emperor Zhang but were framed by Empress Dou after the death of Empress Dowager Ma, leading to their forced suicide. Liu Qing was deposed as crown prince in favor of his half-brother Liu Zhao (Emperor He). Despite this, Liu Qing maintained a close and respectful relationship with Emperor He, who treated hi"
